,Type,Dep,Code_dep,Code_postal,loyer,charges,Superficie,nb_piece,Garantie,Etage,Ascenseur,WC_separe,Cave,Interphone,Gardien,Digicode,Terrain_extérieur,Terrasse,Balcon,stationnement,Chauffage,Description,Departement
0,Appartement,Toulouse,31,31000,650.0,30.0,22,1,1240.0,1,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Information indisponible,"Plein centre ville, en chartreuse au 1 er étage ce charmant T1 tout équipé  a été rénové récemment avec beaucoup de goût : cuisine complétement équipée , séjour avec table, chaises, rangements,  lit en 140, salle d'eau avec toilette et douche à l'italienne.",Haute-Garonne
1,Appartement,Reims,51,51100,450.0,40.0,27,1,820.0,1,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Information indisponible,"hyper centre - place d'Erlon Un appartement meublé situé au premier étage comprenant une pièce principale avec kitchenette (plaques électriques, réfrigérateur), une salle de douche avec wc. Le chauffage est individuel électrique.",Marne
2,Appartement,Valenciennes,59,59300,409.0,25.0,18,1,768.0,3,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Information indisponible,Pas de descriptif,Nord
3,Appartement étudiant,Avignon,84,84000,490.0,48.0,25,1,884.0,2,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Information indisponible,"AVIGNON AGROPARC - Idéal pour étudiant ou jeune salarié. Dans une résidence étudiante et sécurisée avec gardien, laverie, dans un environnement verdoyant et calme, venez visiter studio de 24 m² comprenant un séjour, une salle de bain avec WC, un coin kitchenette équipé et un balcon. Proche de toutes commodités : lignes de bus(lignes 7,15,20 et 3), magasins, restaurants, écoles.  parking privatif extérieur, terrain multisports.Déposez votre dossier en ligne sur www.nexity.fr nous vous recontacterons dans les meilleurs délais",Vaucluse
4,Appartement,Pessac,33,33600,632.0,40.0,21,1,1077.0,2,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Information indisponible,"PESSAC - Au coeur du domaine universitaire, à deux pas du tram B et de la ligne de bus 10, nous vous proposons cet agréable studio dans une résidence de standing, composé d'un séjour lumineux, un espace bureau et un coin cuisine entièrement aménagé et fonctionnel. Cet appartement est  conçu pour vous permettre un séjour des plus agréables. Vous disposerez d'une laverie et d'un emplacement de parking en sous-sol et d'un accès internet avec modem  individuel. Appartement libre à la location à compter du 17/12/2022",Gironde
5,Appartement,Talence,33,33400,1155.0,55.0,69,3,2200.0,5,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Information indisponible,"Talence  Lamartine - Tram et Commerces à proximité -  Dans Résidence Arborée et sécurisée, nous vous proposons de visiter cet appartement de type 3 pièces entièrement meublé situé au 5ème et dernier étage avec ascenseur, composé d'une entrée spacieuse avec de nombreux rangements, une cuisine indépendante aménagée et équipée, un séjour lumineux, de deux chambres, d'une salle de bains et dressing, le tout donnant sur un long balcon avec vue dégagée. Cave et emplacement de parking à disposition.Disponibilité immédiate.",Gironde
6,Appartement,Reims,51,51100,502.0,15.0,24,1,974.0,1,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Information indisponible,Hyper Centre rue des Elus.Studio meublé au premier étage. Idéalement situé comprenant une pièce principale avec coin kitchenette. Une salle de douche avec wc.Chauffage électrique individuel.,Marne
7,Appartement,Reims,51,51100,402.0,50.0,18,1,704.0,2,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Information indisponible,"Résidence Farman Dans une résidence de qualité offrant de nombreux services tel que internet en wifi, gardiennage, parking collectif, laverie...Un studio meublé offrant une entrée avec un coin kitchenette meublée et équipée, une pièce principale avec un placard de rangement, une salle de douches avec wc Meubles : bureau, table, chaises, clic clac, placard de rangement, étagère TV.Moins 10 minutes de la faculté des science, l'IUT en prenant la ligne 3 (direction Moulin de la Housse), accès à la faculté des lettre et la gare de Bezannes ligne 11.",Marne
8,Appartement,Grenoble,38,38000,1780.0,80.0,115,4,3400.0,1,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Information indisponible,"EXCEPTIONNEL - Pas de frais de location, ni de frais d'état des lieux - GRENOBLE - Centre ville - Bd Gambetta - Venez visiter cet agréable appartement meublé 4P+C  115.37 M² disposant du charme de l'ancien (jolis parquets, mosaïques anciennes rénovées au sol, cheminées d'ornement, staff, corniches). Il est situé au 1er étage avec ascenseur. l'appartement est composé d'un hall, un dressing et de nombreux rangements, une cuisine (tous les électroménagers sont neufs), un séjour, trois chambres, une salle d'eau (grande douche, meuble vasque, miroir, sèche serviettes, lave-linge/sèche linge neuf). Double vitrage PVC. Le chauffage et l'eau chaude sont individuels électriques, eau froide individuelle. En dépendance un grand grenier. Visite virtuelle disponible sur notre site !  « Déposez votre dossier en ligne sur notre site, nous pourrons vous proposer ce bien » « Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : www.georisques.gouv.fr ».",Isère
9,Appartement,Auxerre,89,89000,354.0,14.0,17,1,680.0,3,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Information indisponible,Information indisponible,"Dans une résidence tranquille au 3e étage, meublé avec entrée dans pièce principale équipé d'un coin cuisine avec éléments hauts, plaques électrique, frigo, micro-onde, hotte, table, chaises, une armoire, un sommier une personne, une salle d'eau avec wc, un emplacement de parking - chauffage individuel électrique.",Yonne
